Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4878.9068,21.9199,21.8049,0.1150,21.5396,6.6884,6.5788,0.1096,30.7513,20.8382,0.6123,4878.9068,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4900.8267,22.7594,22.6425,0.1169,22.3106,5.8732,5.8314,0.0418,29.6696,25.0122,1.0817,4900.8267,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4923.5861,21.8706,21.7401,0.1305,21.5423,5.9074,5.8276,0.0798,31.9224,33.3332,-2.2528,4923.5861,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4945.4567,35.0145,34.8892,0.1253,34.7227,6.1030,5.8066,0.2964,43.3850,25.0094,-11.4626,4945.4567,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,4980.4712,23.4894,23.3700,0.1194,23.1240,5.8891,5.8499,0.0392,33.3799,20.8325,10.0051,4980.4712,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5003.9606,22.5931,22.4670,0.1261,22.0910,6.0419,5.8681,0.1738,30.7230,25.0098,2.6569,5003.9606,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5026.5537,22.9126,22.7646,0.1480,22.0555,6.4035,5.9374,0.4661,33.1397,20.8314,-2.4167,5026.5537,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5049.4663,21.3495,21.2385,0.1110,20.9870,5.9890,5.8784,0.1106,31.0585,20.8383,2.0812,5049.4663,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5070.8158,22.4262,22.1075,0.3187,21.7994,6.0579,5.8827,0.1752,30.5473,25.0123,0.5112,5070.8158,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5093.2420,22.9560,22.8373,0.1187,22.4783,5.9644,5.9078,0.0566,33.1334,20.8269,-2.5861,5093.2420,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5116.1980,22.5952,22.4729,0.1223,22.2437,6.3279,5.9095,0.4184,31.0043,25.0383,2.1291,5116.1980,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5138.7932,23.6989,23.5763,0.1226,23.3246,6.0850,5.8921,0.1929,33.4474,20.8061,-2.4431,5138.7932,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5162.4921,21.8097,21.6970,0.1127,21.4905,5.9881,5.8791,0.1090,30.5546,20.8387,2.8928,5162.4921,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5184.3018,21.8517,21.7395,0.1122,21.5491,6.0033,5.9019,0.1014,29.5836,25.0068,0.9710,5184.3018,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5206.1535,22.9054,22.7836,0.1218,22.4539,7.4300,7.1195,0.3105,32.7387,20.8346,-3.1551,5206.1535,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5229.0589,22.9608,22.8400,0.1208,22.3426,6.4880,5.9348,0.5532,30.6679,25.0087,2.0708,5229.0589,NA,NA,NA
cs2.exe,40188,0x805E6D5A60,DXGI,0,0,0,Composed: Flip,5252.0197,22.2750,22.1587,0.1163,21.8691,6.1668,5.9973,0.1695,32.7158,20.8901,-2.0479,5252.0197,NA,NA,NA
